,airline,cabin class,booking class,duration,price,country code,decreased price
0,AF,BUSINESS,C,595,7033.16,109,1
1,AF,ECONOMY,B,125,2248.51,109,1
2,AY,BUSINESS,C,1060,6250.83,172,1
3,AF,PREMIUM_ECO,A,1035,3553.39,109,1
4,AF,BUSINESS,C,935,9701.65,109,1
5,BA,BUSINESS,R,755,7868.21,92,1
6,AF,PREMIUM_ECO,A,670,5183.389999999999,109,1
7,AF,BUSINESS,J,75,2496.14,109,1
8,AF,ECONOMY,M,85,3560.33,109,1
9,BA,ECONOMY,K,90,2203.07,170,1
10,AF,BUSINESS,J,590,7179.72,171,1
11,DL,FIRST,F,701,4393.99,169,1
12,AF,ECONOMY,K,85,3239.52,109,1
13,SN,BUSINESS,D,1075,5962.14,169,1
14,BA,BUSINESS,R,465,5494.57,92,1
15,BA,BUSINESS,I,415,6157.889999999999,92,1
16,AF,BUSINESS,I,465,5450.46,109,1
17,BA,ECONOMY,Y,880,3722.02,170,1
18,AF,ECONOMY,K,715,2733.66,109,1
19,AF,ECONOMY,Y,840,6609.69,109,1
20,BA,ECONOMY,Y,770,5137.85,92,1
21,AF,BUSINESS,D,755,5077.6,109,1
22,BA,PREMIUM_ECO,W,575,6304.84,92,1
23,AF,BUSINESS,D,430,6187.16,109,1
24,KL,ECONOMY,M,75,2359.26,109,1
25,VS,BUSINESS,D,760,6916.37,92,1
26,QR,BUSINESS,I,765,3063.33,169,1
27,AF,BUSINESS,J,635,11462.13,109,1
28,AF,BUSINESS,I,750,6782.78,169,1
29,AF,BUSINESS,D,705,11767.78,109,1
30,LH,BUSINESS,D,820,7490.43,95,1
31,BA,ECONOMY,K,540,1991.38,100,1
32,AF,ECONOMY,B,495,4216.46,109,1
33,LH,BUSINESS,C,680,7716.01,95,1
34,IB,BUSINESS,D,920,5696.3,97,1
35,AF,BUSINESS,I,440,4128.3,109,1
36,AF,BUSINESS,C,505,8678.67,109,1
37,KL,BUSINESS,Z,1205,10636.82,109,1
38,EK,BUSINESS,C,700,6701.74,171,1
39,KL,ECONOMY,B,120,2011.98,100,1
40,LH,BUSINESS,D,860,4970.73,169,1
41,SQ,ECONOMY,H,785,2830.58,172,1
42,LH,BUSINESS,P,755,5023.52,109,1
43,AF,BUSINESS,I,485,6463.76,109,1
44,BA,BUSINESS,D,100,1931.62,109,1
45,BA,BUSINESS,J,892,4896.28,100,1
46,IB,BUSINESS,R,89,4548.81,98,1
47,KL,BUSINESS,C,440,7751.66,100,1
48,LO,ECONOMY,B,130,2511.69,173,1
49,BA,PREMIUM_ECO,E,480,5158.83,92,1
50,AF,BUSINESS,I,555,7461.16,109,1
51,9W,BUSINESS,J,520,5259.84,169,1
52,AF,BUSINESS,I,765,6414.5,109,1
53,BA,PREMIUM_ECO,W,785,3180.26,92,1
54,LH,ECONOMY,Y,685,5333.8,95,1
55,LX,BUSINESS,J,120,4224.75,98,1
56,AF,ECONOMY,Y,889,5198.58,109,1
57,AF,BUSINESS,D,850,7015.87,171,1
58,LH,BUSINESS,C,715,7415.63,95,1
59,DL,BUSINESS,Z,651,6132.889999999999,171,1
60,AY,ECONOMY,Y,885,3707.59,169,1
61,QR,BUSINESS,I,1240,7276.72,109,1
62,AF,BUSINESS,D,595,5880.78,109,1
63,BA,ECONOMY,Y,115,3119.0299999999997,97,1
64,AF,BUSINESS,I,605,6673.65,109,1
65,BA,PREMIUM_ECO,W,415,3991.75,92,1
66,AA,ECONOMY,M,962,1332.69,109,1
67,LH,BUSINESS,D,1045,5476.57,100,1
68,AF,ECONOMY,A,70,2096.63,109,1
69,BA,BUSINESS,R,420,6051.32,92,1
70,LH,BUSINESS,D,894,7363.13,169,1
71,UA,ECONOMY,Y,650,6487.35,169,1
72,BA,BUSINESS,R,435,4576.1,92,1
73,AF,BUSINESS,I,460,7103.68,109,1
74,EK,BUSINESS,J,775,5143.24,169,1
75,AF,BUSINESS,I,855,4702.219999999999,169,1
76,KL,BUSINESS,C,447,5908.719999999999,169,1
77,UA,BUSINESS,Z,760,6465.26,169,1
78,BA,BUSINESS,R,635,9410.3,92,1
